# Stock Market Information for MSFT
# Open,High,Low,Volume,Close
124.2300,124.6150,123.3200,26646769,123.6800
125.2600,125.7600,124.7800,16829613,125.7300
125.3800,125.3900,124.0400,22763140,124.9400
126.9800,128.0000,126.0500,23128359,126.1600
126.9100,127.4150,125.9700,14123358,126.2400
126.2000,126.2900,124.7400,23603810,126.1800
126.6200,128.2400,126.5200,15396485,127.6700
127.4300,127.5273,126.5800,15293260,126.9000
126.5200,127.5894,125.7607,23706934,126.2200
128.3050,130.4600,127.9200,25770539,128.0700
126.7500,129.3800,126.4600,30112216,128.9300
124.2600,126.7100,123.7000,24722708,126.0200
123.8700,125.8800,123.7000,25266315,124.7300
124.1100,125.5500,123.0400,33944923,123.3500
124.9100,127.9300,123.8200,30915084,127.1300
124.2900,125.7900,123.5700,27235835,125.5000
125.4400,126.3700,124.7500,28418996,125.5100
126.4600,127.1800,124.2200,36017661,125.5200
126.3900,128.5600,126.1100,24239464,128.1500
127.3600,129.4300,127.2500,24911126,128.9000
127.9800,128.0000,125.5200,27350161,126.2100
130.5300,130.6500,127.7000,26821692,127.8800
129.8100,130.7000,129.3947,24166503,130.6000
129.9000,130.1800,129.3500,16324183,129.7700
129.7000,130.5152,129.0200,23654933,129.8900
130.0600,131.3700,128.8300,38033892,129.1500
125.7900,125.8500,124.5200,31256980,125.0100
124.1000,125.5800,123.8300,24025521,125.4400
122.6200,124.0000,122.5700,15648724,123.7600
122.1900,123.5200,121.3018,27990998,123.3700
121.2400,121.8500,120.5400,19300938,121.7700
121.6400,121.6500,120.1000,14071787,120.7700
120.9400,121.5800,120.5700,15792572,121.0500
120.6400,120.9800,120.3700,19745143,120.9500
120.5400,120.8500,119.9200,14209121,120.3300
119.7600,120.3500,119.5400,16477169,120.1900
118.6300,119.5400,118.5800,17611981,119.2800
119.8100,120.0200,118.6400,15116186,119.9300
119.3900,120.2300,119.3700,15826245,119.8900
120.1000,120.2300,118.3800,20112848,119.3600
119.8600,120.4300,119.1500,22860744,119.9700
119.0600,119.4800,118.5200,18142297,119.1900
118.9500,119.1085,118.1000,22789103,119.0200
118.0700,118.3200,116.9600,25399752,117.9400
117.4400,117.5800,116.1300,18334755,116.9300
117.8750,118.2100,115.5215,22733427,116.7700
118.6200,118.7050,116.8500,26097665,117.9100
116.5600,118.0100,116.3224,27067117,117.6600
119.5000,119.5900,117.0400,33624528,117.0500
117.1350,120.8200,117.0900,29854446,120.2200
117.3900,118.7500,116.7100,28113343,117.5200
118.0900,118.4400,116.9900,37588697,117.6500
116.1700,117.6100,116.0500,31207596,117.5700
115.3400,117.2500,114.5900,54630661,115.9100
114.5400,115.2000,114.3300,30763367,114.5900
114.1300,115.0000,113.7800,35513771,114.5000
112.8200,113.9900,112.6499,26132717,113.6200
110.9900,112.9500,110.9800,26491618,112.8300
109.1600,110.7100,108.8000,22818430,110.5100
111.4000,111.5500,109.8650,25338954,110.3900
111.8700,112.6600,111.4300,17686996,111.7500
112.2500,112.3900,111.2300,19538318,111.7000
113.0200,113.2500,110.8000,26608014,112.2600
112.8900,113.0200,111.6650,23501169,112.5300
112.0400,112.8800,111.7300,29083934,112.0300
111.6900,112.3600,110.8800,21487062,112.1700
111.2600,113.2400,111.1700,21536733,112.3600
111.7600,112.1800,111.2600,23750599,111.5900
110.0500,111.2000,109.8200,27763218,110.9700
106.9000,109.4800,106.8700,29063231,109.4100
107.8600,107.9400,106.2900,21607671,107.1500
107.7900,108.6600,107.7800,18038460,108.1700
107.9100,108.3000,107.3624,26606886,108.2200
106.3100,107.2900,105.6600,21784703,106.9000
107.5000,107.7800,106.7100,18394869,106.8100
106.1400,107.1400,105.4800,25056595,106.8900
106.2000,106.5800,104.9650,18914123,105.2500
104.3900,105.7800,104.2603,21461093,105.6700
105.1850,105.5900,104.2900,29760697,105.2700
107.0000,107.0000,105.5300,20609759,106.0300
106.0600,107.2700,105.9600,27325365,107.2200
102.8700,105.8000,102.7700,31315282,105.7400
103.7750,104.0999,102.3500,35535690,102.7800
103.8000,105.2200,103.1800,55636391,104.4300
104.6200,106.3800,104.3300,49471866,106.3800
104.8800,104.9700,102.1700,31490547,102.9400
106.2600,106.4800,104.6600,29476719,105.0800
107.2400,107.8800,106.5900,31218193,107.1700
106.8600,107.0000,105.3400,23164838,106.2000
106.1200,107.0400,105.3400,25874294,106.7100
106.7500,107.1000,104.8600,32371253,105.6800
107.4600,107.9000,105.9100,37427587,107.7100
105.0000,106.6250,104.7600,28393015,106.1200
105.2600,106.2550,104.9600,29853865,105.3800
102.5100,105.0500,101.8800,31587616,105.0100
101.9000,102.8716,101.2600,28437079,102.0500
103.1900,103.4400,101.6400,28314202,102.8000
103.2200,103.7500,102.3800,30067556,103.6000
103.8600,104.8800,103.2445,32280840,104.2700
103.0400,103.9700,101.7134,31514415,102.8000
101.6400,103.2681,100.9800,35656136,102.0600
99.7200,102.5100,98.9300,44060620,101.9300
100.1000,100.1850,97.2000,42578410,97.4000
99.5500,101.7500,98.9400,35329345,101.1200
101.2900,102.4000,100.4400,33173765,101.5700
102.0900,102.4100,99.5200,38169312,100.3900
99.3000,101.1900,96.4000,49498509,101.1800
95.1400,100.6900,93.9600,51634793,100.5600
97.6800,97.9700,93.9800,43935192,94.1300
101.6300,103.0000,97.4600,111242070,98.2300
103.0500,104.3100,98.7800,70334184,101.5100
103.6500,106.8800,101.3500,68198186,103.6900
103.7500,104.5100,102.5200,49319196,103.9700
105.4100,105.8000,101.7100,56957314,102.8900
108.2500,109.2600,105.5000,47043136,106.0300
109.5800,110.8700,108.6300,31333362,109.4500
110.8900,111.2700,109.0400,36183020,109.0800
109.8000,110.9500,107.4400,42381947,108.5900
104.8000,107.9800,103.8900,40801525,107.5900
