# http://finance.yahoo.com/quote/GOOG/history?ltr=1,,,,,
# Open,High,Low,Volume,Close,MACD
828.659973,833.450012,828.349976,1247700,831.659973,582.1619811
823.02002,828.070007,821.655029,1597800,828.070007,579.6490049
819.929993,824.400024,818.97998,1281700,824.159973,576.9119811
819.359985,823,818.469971,1304000,818.97998,573.285986
819,823,816,1053600,820.450012,574.3150084
816,820.958984,815.48999,1198100,819.23999,573.467993
811.700012,815.25,809.780029,1129100,813.669983,569.5689881
809.51001,810.659973,804.539978,989700,809.559998,566.6919986
807,811.840027,803.190002,1155300,808.380005,565.8660035
803.98999,810.5,801.780029,1235200,806.969971,564.8789797
799.700012,801.669983,795.25,1174200,801.340027,560.9380189
802.98999,806,800.369995,1460400,801.48999,561.042993
793.799988,802.700012,792,1525800,798.530029,558.9710203
799.679993,801.190002,791.190002,2023300,795.695007,556.9865049
796.859985,801.25,790.52002,2143500,796.789978,557.7529846
814.659973,815.840027,799.799988,3228900,802.320007,561.6240049
834.710022,841.950012,820.440002,2951800,823.309998,576.3169986
837.809998,838,827.01001,2734400,832.150024,582.5050168
829.619995,835.77002,825.059998,1494500,835.669983,584.9689881
822.299988,825.900024,817.820984,1461000,823.869995,576.7089965
807.25,820.869995,803.73999,1901600,819.309998,573.5169986
806.909973,806.909973,801.690002,1645000,805.02002,563.514014
805.119995,809.47998,801.799988,912000,802.174988,561.5224916
805.809998,806.205017,800.98999,1293300,806.070007,564.2490049
807.080017,807.140015,800.369995,1355800,804.609985,563.2269895
807.47998,811.223999,806.690002,1090100,807.880005,565.5160035
807.140015,807.390015,799.169983,1351000,806.359985,564.4519895
805,808.150024,801.369995,1057900,807.909973,565.5369811
807.859985,809.130005,803.51001,1174300,804.789978,563.3529846
806.400024,809.966003,802.830017,1272400,806.650024,564.6550168
795.26001,807.900024,792.203979,1620500,806.150024,564.3050168
786.080017,794.47998,785.02002,1315400,794.02002,555.814014
788.359985,791.340027,783.159973,1065400,786.900024,550.8300168
778.809998,789.630005,775.799988,1643100,786.140015,550.2980105
782.75,782.780029,770.409973,1760200,771.820007,540.2740049
783.330017,785.929993,778.919983,742200,782.789978,547.9529846
793.700012,794.22998,783.200012,1132700,785.049988,549.5349916
790.679993,797.859985,787.656982,789100,791.549988,554.0849916
790.900024,792.73999,787.280029,623400,789.909973,552.9369811
792.359985,793.320007,788.580017,969100,791.26001,553.882007
795.840027,796.676025,787.099976,1208700,794.559998,556.1919986
796.76001,798.650024,793.27002,925100,796.419983,557.4939881
790.219971,797.659973,786.27002,1225900,794.200012,555.9400084
800.400024,800.856018,790.289978,2428300,790.799988,553.5599916
797.340027,803,792.919983,1623700,797.849976,558.4949832
797.400024,804,794.01001,1664500,797.070007,557.9490049
793.900024,804.380005,793.340027,2119800,796.099976,557.2699832
785.039978,791.25,784.35498,2097100,789.27002,552.489014
780,789.429993,779.020996,1780500,789.289978,552.5029846
772.47998,778.179993,767.22998,1448200,776.419983,543.4939881
761,771.359985,755.799988,1750800,771.190002,539.8330014
764.72998,768.830017,757.340027,1632800,759.109985,531.3769895
757.710022,763.900024,752.900024,1382900,762.52002,533.764014
744.590027,754,743.099976,1448700,750.5,525.35
757.440002,759.849976,737.025024,2996900,747.919983,523.5439881
770.070007,772.98999,754.830017,2365800,758.039978,530.6279846
771.530029,778.5,768.23999,1604500,770.840027,539.5880189
760,779.530029,759.799988,2172200,768.23999,537.767993
764.26001,765,760.52002,586000,761.679993,533.1759951
767.72998,768.28302,755.25,1477400,760.98999,532.692993
772.630005,776.960022,767,1591800,768.27002,537.789014
762.609985,769.700012,760.599976,1323000,769.200012,538.4400084
771.369995,775,760,1526200,760.539978,532.3779846
766.919983,772.700012,764.22998,1287000,771.22998,539.860986
755.200012,766.359985,750.51001,1465200,764.47998,535.135986
746.969971,764.416016,746.969971,2341200,758.48999,530.942993
755.599976,757.849976,727.539978,3631700,736.080017,515.2560119
756.539978,760.780029,750.380005,2394000,754.02002,527.814014
791.169983,791.169983,752.179993,4740100,762.559998,533.7919986
779.940002,791.22699,771.669983,2602700,785.309998,549.7169986
783.400024,795.632996,780.190002,1350800,790.51001,553.357007
774.5,785.190002,772.549988,1585100,782.52002,547.764014
750.659973,770.359985,750.560974,2134800,762.02002,533.414014
767.25,769.950012,759.030029,1943200,762.130005,533.4910035
778.200012,781.650024,763.450012,1872400,768.700012,538.0900084
782.890015,789.48999,775.539978,2406400,783.609985,548.5269895
795.469971,796.859985,784,2427300,784.539978,549.1779846
808.349976,815.48999,793.590027,4269900,795.369995,556.7589965
801,803.48999,791.5,2749200,795.349976,556.7449832
806.340027,806.97998,796.320007,1647700,799.070007,559.3490049
816.679993,816.679993,805.140015,1576400,807.669983,565.3689881
804.900024,815.179993,804.820007,1697500,813.109985,569.1769895
795,799.5,794,1266200,799.369995,559.5589965
803.299988,803.969971,796.030029,1757500,796.969971,557.8789797
798.23999,804.599976,798.030029,1766800,801.5,561.05
787.849976,801.609985,785.565002,2056900,795.26001,556.682007
779.799988,785.849976,777.5,1093000,779.960022,545.9720154
781.650024,783.950012,776,852500,778.530029,544.9710203
781.219971,781.219971,773,1365300,778.190002,544.7330014
783.76001,788.130005,782.059998,937400,786.140015,550.2980105
786.659973,792.280029,780.580017,1372500,783.070007,548.1490049
777.710022,789.380005,775.869995,1174900,785.940002,550.1580014
779.659973,779.659973,770.75,933200,775.080017,542.5560119
779,780.47998,775.539978,1070700,776.859985,543.8019895
779.309998,782.070007,775.650024,1461200,776.469971,543.5289797
776.030029,778.710022,772.890015,1201400,776.429993,543.5009951
774.25,776.065002,769.5,1278800,772.559998,540.7919986
776.330017,780.940002,774.090027,1585300,777.289978,544.1029846
781.440002,785.799988,774.231995,1314700,775.01001,542.507007
777.849976,781.809998,774.969971,1109800,781.559998,547.0919986
775.5,785.98999,774.307983,1153200,783.01001,548.107007
782.73999,782.73999,773.070007,1533200,774.210022,541.9470154
786.590027,788.929993,784.150024,1411900,786.900024,550.8300168
780,789.849976,778.440002,1486200,787.210022,551.0470154
772.659973,777.159973,768.301025,1167800,776.219971,543.3539797
769,773.330017,768.530029,978600,771.409973,539.9869811
772.419983,774,764.440979,1172800,765.700012,535.9900084
769.75,769.75,764.659973,2049300,768.880005,538.2160035
762.890015,773.799988,759.960022,1305100,771.76001,540.232007
759.609985,767.679993,759.109985,1087400,762.48999,533.742993
764.47998,766.219971,755.799988,1395000,759.690002,531.7830014
755.130005,770.289978,754,1311000,769.02002,538.314014
770.099976,773.244995,759.659973,1885500,759.659973,531.7619811
778.590027,780.349976,773.580017,1270300,775.320007,542.7240049
780,782.72998,776.200012,893700,780.349976,546.2449832
773.450012,782,771,1442800,780.080017,546.0560119
773.01001,773.919983,768.409973,1072700,771.460022,540.0220154
769.25,771.02002,764.299988,925100,768.780029,538.1460203
767.01001,769.090027,765.380005,1248600,767.049988,536.9349916
769.330017,774.466003,766.840027,1130000,769.090027,538.3630189
768.73999,774.98999,766.61499,847600,772.150024,540.5050168
769,776.080017,765.849976,1166700,769.539978,538.6779846
767,771.890015,763.184998,926900,769.409973,538.5869811
770.580017,774.5,767.070007,1072000,769.640015,538.7480105
775.47998,776.440002,771.784973,928200,772.080017,540.4560119
773.27002,774.539978,770.049988,951400,772.150024,540.5050168
775,777.099976,773.130005,861500,775.419983,542.7939881
780.01001,782.859985,777,719400,777.5,544.25
777.320007,780.809998,773.530029,924200,779.909973,545.9369811
780.299988,780.97998,773.44397,1028000,777.140015,543.9980105
783.75,787.48999,780.109985,938200,782.440002,547.7080014
781.5,783.39502,780.400024,740500,783.219971,548.2539797
785,789.75,782.969971,975100,784.849976,549.3949832
783.75,786.812012,782.778015,786400,784.679993,549.2759951
781.099976,788.940002,780.570007,1318900,784.26001,548.982007
782,782.630005,778.091003,1107900,781.76001,547.232007
